inspection_id,date,part_id,qty_inspected,qty_passed,qty_failed,disposition
INSP00465,2025-05-20,PT0026,81,79,2,Pending Review
INSP00466,2025-06-29,PT0006,43,43,0,Scrap
INSP00467,2025-11-08,PT0026,120,119,1,Scrap
INSP00468,2024-05-06,PT0015,248,239,9,Use As-Is
INSP00469,2024-01-01,PT0006,418,413,5,Use As-Is
INSP00470,2024-09-10,PT0017,248,246,2,Return to Supplier
INSP00471,2023-02-27,PT0004,467,461,6,Pending Review
INSP00472,2026-06-04,PT0040,272,264,8,Use As-Is
INSP00473,2023-12-05,PT0012,356,350,6,Return to Supplier
INSP00474,2024-02-15,PT0003,131,129,2,Pending Review
INSP00475,2025-01-16,PT0004,288,285,3,Return to Supplier
INSP00476,2024-07-04,PT0015,94,92,2,Scrap
INSP00477,2025-03-30,PT0001,445,433,12,Pending Review
INSP00478,2024-05-19,PT0001,347,334,13,Return to Supplier
INSP00479,2024-05-13,PT0028,402,391,11,Return to Supplier
INSP00480,2025-01-14,PT0033,202,197,5,Return to Supplier
INSP00481,2025-09-23,PT0006,392,380,12,Use As-Is
INSP00482,2025-08-16,PT0015,135,134,1,Rework
INSP00483,2025-10-24,PT0014,275,267,8,Pending Review
INSP00484,2023-03-18,PT0012,146,143,3,Pending Review
INSP00485,2024-08-19,PT0004,187,184,3,Use As-Is
INSP00486,2025-07-28,PT0025,410,407,3,Pending Review
INSP00487,2023-12-12,PT0030,500,485,15,Pending Review
INSP00488,2023-09-03,PT0010,400,389,11,Scrap
INSP00489,2025-08-02,PT0039,343,337,6,Use As-Is
INSP00490,2026-01-12,PT0003,470,459,11,Pending Review
INSP00491,2024-12-24,PT0011,101,100,1,Rework
INSP00492,2025-07-19,PT0021,238,236,2,Return to Supplier
INSP00493,2024-05-17,PT0029,97,97,0,Return to Supplier
INSP00494,2023-02-16,PT0005,77,76,1,Use As-Is
INSP00495,2024-11-12,PT0026,252,247,5,Use As-Is
INSP00496,2025-09-09,PT0016,208,207,1,Return to Supplier
INSP00497,2025-07-17,PT0020,463,456,7,Pending Review
INSP00498,2026-05-25,PT0033,308,296,12,Return to Supplier
INSP00499,2023-09-12,PT0026,269,262,7,Pending Review
INSP00500,2025-11-21,PT0004,140,140,0,Rework
INSP00501,2024-08-09,PT0037,454,450,4,Scrap
INSP00502,2023-01-20,PT0036,129,128,1,Scrap
INSP00503,2025-12-28,PT0031,432,416,16,Use As-Is
INSP00504,2024-10-02,PT0002,434,429,5,Rework
INSP00505,2023-04-23,PT0015,280,270,10,Scrap
INSP00506,2024-01-25,PT0024,157,156,1,Rework
INSP00507,2025-06-22,PT0015,75,75,0,Pending Review
INSP00508,2025-01-26,PT0002,426,413,13,Pending Review
INSP00509,2025-11-20,PT0035,75,73,2,Pending Review
INSP00510,2025-10-18,PT0024,309,299,10,Pending Review
INSP00511,2025-08-05,PT0015,90,88,2,Pending Review
INSP00512,2023-09-30,PT0031,288,287,1,Pending Review
INSP00513,2023-10-21,PT0034,140,135,5,Pending Review
INSP00514,2026-01-09,PT0026,127,123,4,Scrap
INSP00515,2023-03-21,PT0027,111,111,0,Return to Supplier
INSP00516,2025-07-31,PT0036,232,224,8,Scrap
INSP00517,2024-03-31,PT0035,52,51,1,Pending Review
INSP00518,2023-05-19,PT0037,406,401,5,Return to Supplier
INSP00519,2025-09-09,PT0003,259,252,7,Pending Review
INSP00520,2026-01-06,PT0027,453,437,16,Use As-Is
INSP00521,2024-07-12,PT0018,320,318,2,Pending Review
INSP00522,2024-12-19,PT0006,41,41,0,Use As-Is
INSP00523,2023-12-07,PT0029,418,402,16,Use As-Is
INSP00524,2024-11-15,PT0030,137,137,0,Scrap
INSP00525,2025-10-29,PT0003,289,283,6,Use As-Is
INSP00526,2025-10-27,PT0020,109,106,3,Scrap
INSP00527,2023-09-26,PT0011,348,338,10,Rework
INSP00528,2025-09-19,PT0024,101,101,0,Use As-Is
INSP00529,2023-12-11,PT0032,418,402,16,Rework
INSP00530,2024-05-09,PT0005,463,459,4,Use As-Is
INSP00531,2024-03-29,PT0019,54,53,1,Return to Supplier
INSP00532,2024-04-23,PT0035,101,100,1,Return to Supplier
INSP00533,2025-01-18,PT0038,244,242,2,Return to Supplier
INSP00534,2025-08-12,PT0008,354,346,8,Use As-Is
INSP00535,2025-04-14,PT0002,200,198,2,Use As-Is
INSP00536,2025-03-18,PT0022,346,334,12,Use As-Is
INSP00537,2023-05-05,PT0040,215,208,7,Rework
INSP00538,2024-06-15,PT0035,243,236,7,Pending Review
INSP00539,2025-10-29,PT0032,68,67,1,Use As-Is
INSP00540,2025-03-31,PT0011,334,331,3,Scrap
INSP00541,2025-10-15,PT0031,404,400,4,Scrap
INSP00542,2024-10-28,PT0016,407,394,13,Scrap
INSP00543,2026-01-18,PT0005,63,61,2,Scrap
INSP00544,2023-03-07,PT0031,455,442,13,Pending Review
INSP00545,2024-04-29,PT0008,448,438,10,Rework
INSP00546,2025-04-16,PT0014,264,257,7,Scrap
INSP00547,2026-04-16,PT0035,268,261,7,Scrap
INSP00548,2024-03-01,PT0012,115,114,1,Pending Review
INSP00549,2023-07-01,PT0040,121,120,1,Rework
INSP00550,2023-11-26,PT0031,467,461,6,Use As-Is
INSP00551,2025-01-26,PT0017,357,347,10,Use As-Is
INSP00552,2024-08-02,PT0031,102,100,2,Return to Supplier
INSP00553,2026-05-13,PT0012,168,166,2,Return to Supplier
INSP00554,2025-07-30,PT0005,253,249,4,Return to Supplier
INSP00555,2025-03-13,PT0036,218,214,4,Pending Review
INSP00556,2024-06-18,PT0009,464,462,2,Return to Supplier
INSP00557,2023-09-05,PT0014,261,256,5,Pending Review
INSP00558,2023-12-05,PT0013,251,247,4,Pending Review
INSP00559,2023-09-26,PT0021,388,378,10,Rework
INSP00560,2023-03-02,PT0035,272,266,6,Return to Supplier
INSP00561,2026-02-28,PT0002,327,325,2,Pending Review
INSP00562,2023-06-07,PT0012,62,60,2,Return to Supplier
INSP00563,2024-03-20,PT0021,428,413,15,Pending Review
INSP00564,2023-08-17,PT0024,242,237,5,Scrap
INSP00565,2023-12-21,PT0025,107,106,1,Use As-Is
INSP00566,2023-07-29,PT0039,122,121,1,Return to Supplier
INSP00567,2023-09-25,PT0033,462,456,6,Rework
INSP00568,2025-09-24,PT0012,428,418,10,Pending Review
INSP00569,2024-06-04,PT0002,390,376,14,Rework
INSP00570,2024-12-27,PT0009,49,49,0,Rework
INSP00571,2024-01-17,PT0003,308,296,12,Pending Review
INSP00572,2023-11-17,PT0033,410,399,11,Rework
INSP00573,2024-08-20,PT0031,488,476,12,Return to Supplier
INSP00574,2025-06-01,PT0030,282,279,3,Rework
INSP00575,2023-07-19,PT0032,106,104,2,Use As-Is
INSP00576,2023-04-13,PT0040,332,328,4,Return to Supplier
INSP00577,2024-12-18,PT0006,129,127,2,Pending Review
INSP00578,2024-06-12,PT0034,77,76,1,Scrap
INSP00579,2026-05-04,PT0025,273,267,6,Scrap
INSP00580,2026-02-13,PT0019,436,429,7,Pending Review
INSP00581,2023-11-11,PT0001,280,272,8,Use As-Is
INSP00582,2026-06-26,PT0028,199,197,2,Pending Review
INSP00583,2024-11-19,PT0006,484,472,12,Scrap
INSP00584,2025-02-03,PT0026,296,292,4,Use As-Is
INSP00585,2026-04-06,PT0014,375,370,5,Scrap
INSP00586,2023-04-07,PT0030,206,199,7,Pending Review
INSP00587,2025-07-16,PT0039,336,329,7,Rework
INSP00588,2024-11-26,PT0031,422,410,12,Use As-Is
INSP00589,2023-04-07,PT0009,485,480,5,Pending Review
INSP00590,2024-05-23,PT0008,358,355,3,Rework
INSP00591,2025-08-30,PT0011,210,207,3,Use As-Is
INSP00592,2026-03-13,PT0024,495,488,7,Scrap
INSP00593,2024-05-21,PT0001,251,245,6,Pending Review
INSP00594,2023-09-29,PT0022,148,144,4,Return to Supplier
INSP00595,2025-06-20,PT0010,141,138,3,Return to Supplier
INSP00596,2025-09-20,PT0034,117,115,2,Return to Supplier
INSP00597,2024-10-16,PT0006,228,226,2,Scrap
INSP00598,2025-03-31,PT0028,112,110,2,Return to Supplier
INSP00599,2026-06-26,PT0020,26,26,0,Pending Review
INSP00600,2023-03-20,PT0030,126,124,2,Rework
