asset_id,type,make_model,dept,assigned_to,purchase_date,warranty_end,status
AST00303,Laptop,Dell XPS,Sales,E1309,2022-09-10,2025-09-09,Active
AST00304,Laptop,Apple ThinkPad,Sales,E1310,2025-04-05,2028-04-04,Active
AST00305,Laptop,HP ThinkPad,EHS,E1311,2024-12-07,2027-12-07,Active
AST00306,Laptop,Lenovo XPS,EHS,E1312,2023-05-28,2026-05-27,Active
AST00307,Laptop,Dell MacBook Pro,EHS,E1313,2021-02-14,2024-02-14,Active
AST00308,Laptop,Lenovo ProBook,EHS,E1314,2023-12-17,2026-12-16,Active
AST00309,Laptop,Lenovo XPS,EHS,E1315,2022-02-26,2025-02-25,Active
AST00310,Laptop,Dell ProBook,EHS,E1316,2024-12-04,2027-12-04,Active
AST00311,Laptop,Lenovo XPS,Executive,E1317,2024-05-20,2027-05-20,Active
AST00312,Laptop,Dell ProBook,Executive,E1318,2024-10-18,2027-10-18,Active
AST00313,Laptop,Lenovo ThinkPad,Executive,E1319,2022-11-28,2025-11-27,Active
AST00314,Server,Cisco Enterprise,HR,IT,2024-10-21,2029-10-20,Active
AST00315,Printer,HP Enterprise,Executive,IT,2024-03-24,2029-03-23,Maintenance
AST00316,Printer,Samsung Enterprise,Procurement,IT,2019-06-02,2024-05-31,Maintenance
AST00317,Server,Apple Enterprise,Finance,IT,2025-06-17,2030-06-16,Active
AST00318,Printer,Dell Enterprise,EHS,IT,2025-03-27,2030-03-26,End of Life
AST00319,Server,Brother Enterprise,Sales,IT,2024-10-28,2029-10-27,End of Life
AST00320,Server,Samsung Enterprise,Sales,IT,2025-07-22,2030-07-21,Active
AST00321,UPS,Samsung Enterprise,Sales,IT,2023-10-02,2028-09-30,Active
AST00322,Printer,Samsung Enterprise,Sales,IT,2025-06-14,2030-06-13,Maintenance
AST00323,UPS,HP Enterprise,Quality,IT,2024-12-31,2029-12-30,Maintenance
AST00324,Server,Apple Enterprise,EHS,IT,2020-12-29,2025-12-28,End of Life
AST00325,UPS,Polycom Enterprise,Executive,IT,2020-08-20,2025-08-19,End of Life
AST00326,Server,Brother Enterprise,Manufacturing,IT,2019-09-05,2024-09-03,Maintenance
AST00327,UPS,Dell Enterprise,Quality,IT,2019-12-08,2024-12-06,Maintenance
AST00328,UPS,HP Enterprise,Finance,IT,2025-07-24,2030-07-23,Maintenance
AST00329,Server,HP Enterprise,Quality,IT,2025-03-15,2030-03-14,Maintenance
AST00330,Printer,Apple Enterprise,Manufacturing,IT,2024-06-30,2029-06-29,Maintenance
AST00331,UPS,HP Enterprise,Manufacturing,IT,2019-08-16,2024-08-14,Maintenance
AST00332,Printer,Polycom Enterprise,Procurement,IT,2023-07-12,2028-07-10,End of Life
AST00333,Printer,Brother Enterprise,Manufacturing,IT,2020-02-15,2025-02-13,Active
AST00334,Network Switch,HP Enterprise,IT,IT,2020-07-29,2025-07-28,Maintenance
AST00335,Network Switch,Samsung Enterprise,EHS,IT,2022-03-22,2027-03-21,Active
AST00336,UPS,Polycom Enterprise,Finance,IT,2023-04-17,2028-04-15,Active
AST00337,Printer,Dell Enterprise,Engineering,IT,2022-12-17,2027-12-16,Active
AST00338,UPS,Brother Enterprise,Finance,IT,2023-09-27,2028-09-25,Maintenance
AST00339,Network Switch,Cisco Enterprise,Engineering,IT,2020-08-20,2025-08-19,Active
AST00340,Printer,Apple Enterprise,Engineering,IT,2021-06-24,2026-06-23,Active
AST00341,Server,Cisco Enterprise,Sales,IT,2025-01-09,2030-01-08,End of Life
AST00342,UPS,Dell Enterprise,Executive,IT,2019-07-30,2024-07-28,End of Life
AST00343,Printer,Lenovo Enterprise,Executive,IT,2021-01-23,2026-01-22,Active
AST00344,UPS,Brother Enterprise,IT,IT,2020-09-08,2025-09-07,End of Life
AST00345,Network Switch,HP Enterprise,Engineering,IT,2023-10-11,2028-10-09,Maintenance
AST00346,UPS,Apple Enterprise,HR,IT,2025-05-04,2030-05-03,Maintenance
AST00347,Network Switch,Polycom Enterprise,HR,IT,2023-12-28,2028-12-26,Active
AST00348,Printer,Polycom Enterprise,Procurement,IT,2023-11-07,2028-11-05,End of Life
AST00349,Server,Brother Enterprise,Executive,IT,2025-07-11,2030-07-10,End of Life
AST00350,Server,Apple Enterprise,Sales,IT,2021-05-26,2026-05-25,End of Life
AST00351,Printer,Cisco Enterprise,Procurement,IT,2021-09-17,2026-09-16,Maintenance
AST00352,Network Switch,Dell Enterprise,Quality,IT,2019-09-06,2024-09-04,Maintenance
AST00353,UPS,HP Enterprise,Sales,IT,2020-07-22,2025-07-21,Active
