EmployeeID,DeptID,SiteID,JobClass,AttritionRiskScore,RiskTier
EMP-100403,DEPT-08,SITE-04,EHS Specialist,0.21,Low
EMP-100404,DEPT-09,SITE-01,Contracts Administrator,0.13,Low
EMP-100405,DEPT-10,SITE-02,Assembler,0.26,Medium
EMP-100406,DEPT-11,SITE-03,CNC Machinist,0.16,Low
EMP-100407,DEPT-01,SITE-04,Quality Inspector,0.14,Low
EMP-100408,DEPT-02,SITE-01,Manufacturing Engineer,0.33,Medium
EMP-100409,DEPT-03,SITE-02,Design Engineer,0.32,Medium
EMP-100410,DEPT-04,SITE-03,Test Engineer,0.3,Medium
EMP-100411,DEPT-05,SITE-04,Buyer,0.09,Low
EMP-100412,DEPT-06,SITE-01,Financial Analyst,0.22,Low
EMP-100413,DEPT-07,SITE-02,HR Generalist,0.3,Medium
EMP-100414,DEPT-08,SITE-03,IT Support,0.12,Low
EMP-100415,DEPT-09,SITE-04,Program Manager,0.3,Medium
EMP-100416,DEPT-10,SITE-01,Account Executive,0.21,Low
EMP-100417,DEPT-11,SITE-02,Maintenance Technician,0.28,Medium
EMP-100418,DEPT-01,SITE-03,EHS Specialist,0.07,Low
EMP-100419,DEPT-02,SITE-04,Contracts Administrator,0.15,Low
EMP-100420,DEPT-03,SITE-01,Assembler,0.14,Low
EMP-100421,DEPT-04,SITE-02,CNC Machinist,0.06,Low
EMP-100422,DEPT-05,SITE-03,Quality Inspector,0.22,Low
EMP-100423,DEPT-06,SITE-04,Manufacturing Engineer,0.2,Low
EMP-100424,DEPT-07,SITE-01,Design Engineer,0.05,Low
EMP-100425,DEPT-08,SITE-02,Test Engineer,0.23,Low
EMP-100426,DEPT-09,SITE-03,Buyer,0.05,Low
EMP-100427,DEPT-10,SITE-04,Financial Analyst,0.26,Medium
EMP-100428,DEPT-11,SITE-01,HR Generalist,0.26,Medium
EMP-100429,DEPT-01,SITE-02,IT Support,0.33,Medium
EMP-100430,DEPT-02,SITE-03,Program Manager,0.28,Medium
EMP-100431,DEPT-03,SITE-04,Account Executive,0.14,Low
EMP-100432,DEPT-04,SITE-01,Maintenance Technician,0.29,Medium
EMP-100433,DEPT-05,SITE-02,EHS Specialist,0.31,Medium
EMP-100434,DEPT-06,SITE-03,Contracts Administrator,0.2,Low
EMP-100435,DEPT-07,SITE-04,Assembler,0.15,Low
EMP-100436,DEPT-08,SITE-01,CNC Machinist,0.68,High
EMP-100437,DEPT-09,SITE-02,Quality Inspector,0.28,Medium
EMP-100438,DEPT-10,SITE-03,Manufacturing Engineer,0.12,Low
EMP-100439,DEPT-11,SITE-04,Design Engineer,0.18,Low
EMP-100440,DEPT-01,SITE-01,Test Engineer,0.31,Medium
EMP-100441,DEPT-02,SITE-02,Buyer,0.12,Low
EMP-100442,DEPT-03,SITE-03,Financial Analyst,0.07,Low
EMP-100443,DEPT-04,SITE-04,HR Generalist,0.07,Low
EMP-100444,DEPT-05,SITE-01,IT Support,0.08,Low
EMP-100445,DEPT-06,SITE-02,Program Manager,0.31,Medium
EMP-100446,DEPT-07,SITE-03,Account Executive,0.3,Medium
EMP-100447,DEPT-08,SITE-04,Maintenance Technician,0.32,Medium
EMP-100448,DEPT-09,SITE-01,EHS Specialist,0.31,Medium
EMP-100449,DEPT-10,SITE-02,Contracts Administrator,0.28,Medium
EMP-100450,DEPT-11,SITE-03,Assembler,0.2,Low
EMP-100451,DEPT-01,SITE-04,CNC Machinist,0.28,Medium
EMP-100452,DEPT-02,SITE-01,Quality Inspector,0.3,Medium
EMP-100453,DEPT-03,SITE-02,Manufacturing Engineer,0.29,Medium
EMP-100454,DEPT-04,SITE-03,Design Engineer,0.2,Low
EMP-100455,DEPT-05,SITE-04,Test Engineer,0.24,Low
EMP-100456,DEPT-06,SITE-01,Buyer,0.25,Medium
EMP-100457,DEPT-07,SITE-02,Financial Analyst,0.12,Low
EMP-100458,DEPT-08,SITE-03,HR Generalist,0.13,Low
EMP-100459,DEPT-09,SITE-04,IT Support,0.19,Low
EMP-100460,DEPT-10,SITE-01,Program Manager,0.34,Medium
EMP-100461,DEPT-11,SITE-02,Account Executive,0.27,Medium
EMP-100462,DEPT-01,SITE-03,Maintenance Technician,0.18,Low
EMP-100463,DEPT-02,SITE-04,EHS Specialist,0.16,Low
EMP-100464,DEPT-03,SITE-01,Contracts Administrator,0.11,Low
EMP-100465,DEPT-04,SITE-02,Assembler,0.09,Low
EMP-100466,DEPT-05,SITE-03,CNC Machinist,0.22,Low
EMP-100467,DEPT-06,SITE-04,Quality Inspector,0.08,Low
EMP-100468,DEPT-07,SITE-01,Manufacturing Engineer,0.17,Low
EMP-100469,DEPT-08,SITE-02,Design Engineer,0.28,Medium
EMP-100470,DEPT-09,SITE-03,Test Engineer,0.21,Low
EMP-100471,DEPT-10,SITE-04,Buyer,0.1,Low
EMP-100472,DEPT-11,SITE-01,Financial Analyst,0.08,Low
EMP-100473,DEPT-01,SITE-02,HR Generalist,0.21,Low
EMP-100474,DEPT-02,SITE-03,IT Support,0.25,Low
EMP-100475,DEPT-03,SITE-04,Program Manager,0.18,Low
EMP-100476,DEPT-04,SITE-01,Account Executive,0.07,Low
EMP-100477,DEPT-05,SITE-02,Maintenance Technician,0.19,Low
EMP-100478,DEPT-06,SITE-03,EHS Specialist,0.2,Low
EMP-100479,DEPT-07,SITE-04,Contracts Administrator,0.09,Low
EMP-100480,DEPT-08,SITE-01,Assembler,0.05,Low
EMP-100481,DEPT-09,SITE-02,CNC Machinist,0.18,Low
EMP-100482,DEPT-10,SITE-03,Quality Inspector,0.2,Low
EMP-100483,DEPT-11,SITE-04,Manufacturing Engineer,0.09,Low
EMP-100484,DEPT-01,SITE-01,Design Engineer,0.06,Low
EMP-100485,DEPT-02,SITE-02,Test Engineer,0.26,Medium
EMP-100486,DEPT-03,SITE-03,Buyer,0.19,Low
EMP-100487,DEPT-04,SITE-04,Financial Analyst,0.11,Low
EMP-100488,DEPT-05,SITE-01,HR Generalist,0.17,Low
EMP-100489,DEPT-06,SITE-02,IT Support,0.14,Low
EMP-100490,DEPT-07,SITE-03,Program Manager,0.23,Low
EMP-100491,DEPT-08,SITE-04,Account Executive,0.17,Low
EMP-100492,DEPT-09,SITE-01,Maintenance Technician,0.25,Low
EMP-100493,DEPT-10,SITE-02,EHS Specialist,0.1,Low
EMP-100494,DEPT-11,SITE-03,Contracts Administrator,0.05,Low
EMP-100495,DEPT-01,SITE-04,Assembler,0.19,Low
EMP-100496,DEPT-02,SITE-01,CNC Machinist,0.78,High
EMP-100497,DEPT-03,SITE-02,Quality Inspector,0.17,Low
EMP-100498,DEPT-04,SITE-03,Manufacturing Engineer,0.26,Medium
EMP-100499,DEPT-05,SITE-04,Design Engineer,0.16,Low
EMP-100500,DEPT-06,SITE-01,Test Engineer,0.29,Medium
EMP-100501,DEPT-07,SITE-02,Buyer,0.3,Medium
EMP-100502,DEPT-08,SITE-03,Financial Analyst,0.27,Medium
EMP-100503,DEPT-09,SITE-04,HR Generalist,0.3,Medium
EMP-100504,DEPT-10,SITE-01,IT Support,0.13,Low
EMP-100505,DEPT-11,SITE-02,Program Manager,0.11,Low
EMP-100506,DEPT-01,SITE-03,Account Executive,0.25,Low
EMP-100507,DEPT-02,SITE-04,Maintenance Technician,0.3,Medium
EMP-100508,DEPT-03,SITE-01,EHS Specialist,0.16,Low
EMP-100509,DEPT-04,SITE-02,Contracts Administrator,0.29,Medium
EMP-100510,DEPT-05,SITE-03,Assembler,0.24,Low
EMP-100511,DEPT-06,SITE-04,CNC Machinist,0.21,Low
EMP-100512,DEPT-07,SITE-01,Quality Inspector,0.28,Medium
EMP-100513,DEPT-08,SITE-02,Manufacturing Engineer,0.07,Low
EMP-100514,DEPT-09,SITE-03,Design Engineer,0.09,Low
EMP-100515,DEPT-10,SITE-04,Test Engineer,0.12,Low
EMP-100516,DEPT-11,SITE-01,Buyer,0.2,Low
EMP-100517,DEPT-01,SITE-02,Financial Analyst,0.18,Low
EMP-100518,DEPT-02,SITE-03,HR Generalist,0.25,Medium
EMP-100519,DEPT-03,SITE-04,IT Support,0.19,Low
EMP-100520,DEPT-04,SITE-01,Program Manager,0.17,Low
EMP-100521,DEPT-05,SITE-02,Account Executive,0.26,Medium
EMP-100522,DEPT-06,SITE-03,Maintenance Technician,0.22,Low
EMP-100523,DEPT-07,SITE-04,EHS Specialist,0.2,Low
EMP-100524,DEPT-08,SITE-01,Contracts Administrator,0.08,Low
EMP-100525,DEPT-09,SITE-02,Assembler,0.19,Low
EMP-100526,DEPT-10,SITE-03,CNC Machinist,0.23,Low
EMP-100527,DEPT-11,SITE-04,Quality Inspector,0.34,Medium
EMP-100528,DEPT-01,SITE-01,Manufacturing Engineer,0.13,Low
EMP-100529,DEPT-02,SITE-02,Design Engineer,0.25,Medium
EMP-100530,DEPT-03,SITE-03,Test Engineer,0.3,Medium
EMP-100531,DEPT-04,SITE-04,Buyer,0.26,Medium
EMP-100532,DEPT-05,SITE-01,Financial Analyst,0.31,Medium
EMP-100533,DEPT-06,SITE-02,HR Generalist,0.34,Medium
EMP-100534,DEPT-07,SITE-03,IT Support,0.14,Low
EMP-100535,DEPT-08,SITE-04,Program Manager,0.06,Low
EMP-100536,DEPT-09,SITE-01,Account Executive,0.17,Low
EMP-100537,DEPT-10,SITE-02,Maintenance Technician,0.06,Low
EMP-100538,DEPT-11,SITE-03,EHS Specialist,0.14,Low
EMP-100539,DEPT-01,SITE-04,Contracts Administrator,0.16,Low
EMP-100540,DEPT-02,SITE-01,Assembler,0.13,Low
EMP-100541,DEPT-03,SITE-02,CNC Machinist,0.16,Low
EMP-100542,DEPT-04,SITE-03,Quality Inspector,0.15,Low
EMP-100543,DEPT-05,SITE-04,Manufacturing Engineer,0.21,Low
EMP-100544,DEPT-06,SITE-01,Design Engineer,0.15,Low
EMP-100545,DEPT-07,SITE-02,Test Engineer,0.17,Low
EMP-100546,DEPT-08,SITE-03,Buyer,0.23,Low
EMP-100547,DEPT-09,SITE-04,Financial Analyst,0.14,Low
EMP-100548,DEPT-10,SITE-01,HR Generalist,0.13,Low
EMP-100549,DEPT-11,SITE-02,IT Support,0.28,Medium
EMP-100550,DEPT-01,SITE-03,Program Manager,0.07,Low
EMP-100551,DEPT-02,SITE-04,Account Executive,0.12,Low
EMP-100552,DEPT-03,SITE-01,Maintenance Technician,0.28,Medium
EMP-100553,DEPT-04,SITE-02,EHS Specialist,0.27,Medium
EMP-100554,DEPT-05,SITE-03,Contracts Administrator,0.19,Low
EMP-100555,DEPT-06,SITE-04,Assembler,0.32,Medium
EMP-100556,DEPT-07,SITE-01,CNC Machinist,0.9,High
EMP-100557,DEPT-08,SITE-02,Quality Inspector,0.35,Medium
EMP-100558,DEPT-09,SITE-03,Manufacturing Engineer,0.3,Medium
EMP-100559,DEPT-10,SITE-04,Design Engineer,0.08,Low
EMP-100560,DEPT-11,SITE-01,Test Engineer,0.15,Low
EMP-100561,DEPT-01,SITE-02,Buyer,0.15,Low
EMP-100562,DEPT-02,SITE-03,Financial Analyst,0.1,Low
EMP-100563,DEPT-03,SITE-04,HR Generalist,0.12,Low
EMP-100564,DEPT-04,SITE-01,IT Support,0.05,Low
EMP-100565,DEPT-05,SITE-02,Program Manager,0.09,Low
EMP-100566,DEPT-06,SITE-03,Account Executive,0.23,Low
EMP-100567,DEPT-07,SITE-04,Maintenance Technician,0.12,Low
EMP-100568,DEPT-08,SITE-01,EHS Specialist,0.31,Medium
EMP-100569,DEPT-09,SITE-02,Contracts Administrator,0.06,Low
EMP-100570,DEPT-10,SITE-03,Assembler,0.33,Medium
EMP-100571,DEPT-11,SITE-04,CNC Machinist,0.21,Low
EMP-100572,DEPT-01,SITE-01,Quality Inspector,0.17,Low
EMP-100573,DEPT-02,SITE-02,Manufacturing Engineer,0.17,Low
EMP-100574,DEPT-03,SITE-03,Design Engineer,0.22,Low
EMP-100575,DEPT-04,SITE-04,Test Engineer,0.08,Low
EMP-100576,DEPT-05,SITE-01,Buyer,0.31,Medium
EMP-100577,DEPT-06,SITE-02,Financial Analyst,0.3,Medium
EMP-100578,DEPT-07,SITE-03,HR Generalist,0.1,Low
EMP-100579,DEPT-08,SITE-04,IT Support,0.08,Low
EMP-100580,DEPT-09,SITE-01,Program Manager,0.19,Low
EMP-100581,DEPT-10,SITE-02,Account Executive,0.28,Medium
EMP-100582,DEPT-11,SITE-03,Maintenance Technician,0.1,Low
EMP-100583,DEPT-01,SITE-04,EHS Specialist,0.25,Medium
EMP-100584,DEPT-02,SITE-01,Contracts Administrator,0.3,Medium
EMP-100585,DEPT-03,SITE-02,Assembler,0.06,Low
EMP-100586,DEPT-04,SITE-03,CNC Machinist,0.28,Medium
EMP-100587,DEPT-05,SITE-04,Quality Inspector,0.24,Low
EMP-100588,DEPT-06,SITE-01,Manufacturing Engineer,0.3,Medium
EMP-100589,DEPT-07,SITE-02,Design Engineer,0.26,Medium
EMP-100590,DEPT-08,SITE-03,Test Engineer,0.07,Low
EMP-100591,DEPT-09,SITE-04,Buyer,0.16,Low
EMP-100592,DEPT-10,SITE-01,Financial Analyst,0.26,Medium
EMP-100593,DEPT-11,SITE-02,HR Generalist,0.21,Low
EMP-100594,DEPT-01,SITE-03,IT Support,0.24,Low
EMP-100595,DEPT-02,SITE-04,Program Manager,0.27,Medium
EMP-100596,DEPT-03,SITE-01,Account Executive,0.08,Low
EMP-100597,DEPT-04,SITE-02,Maintenance Technician,0.32,Medium
EMP-100598,DEPT-05,SITE-03,EHS Specialist,0.15,Low
EMP-100599,DEPT-06,SITE-04,Contracts Administrator,0.35,Medium
EMP-100600,DEPT-07,SITE-01,Assembler,0.18,Low
EMP-100601,DEPT-08,SITE-02,CNC Machinist,0.31,Medium
EMP-100602,DEPT-09,SITE-03,Quality Inspector,0.22,Low
EMP-100603,DEPT-10,SITE-04,Manufacturing Engineer,0.26,Medium
EMP-100604,DEPT-11,SITE-01,Design Engineer,0.3,Medium
EMP-100605,DEPT-01,SITE-02,Test Engineer,0.11,Low
EMP-100606,DEPT-02,SITE-03,Buyer,0.17,Low
EMP-100607,DEPT-03,SITE-04,Financial Analyst,0.26,Medium
EMP-100608,DEPT-04,SITE-01,HR Generalist,0.33,Medium
EMP-100609,DEPT-05,SITE-02,IT Support,0.3,Medium
EMP-100610,DEPT-06,SITE-03,Program Manager,0.22,Low
EMP-100611,DEPT-07,SITE-04,Account Executive,0.23,Low
EMP-100612,DEPT-08,SITE-01,Maintenance Technician,0.29,Medium
EMP-100613,DEPT-09,SITE-02,EHS Specialist,0.11,Low
EMP-100614,DEPT-10,SITE-03,Contracts Administrator,0.21,Low
EMP-100615,DEPT-11,SITE-04,Assembler,0.16,Low
EMP-100616,DEPT-01,SITE-01,CNC Machinist,0.8,High
EMP-100617,DEPT-02,SITE-02,Quality Inspector,0.06,Low
EMP-100618,DEPT-03,SITE-03,Manufacturing Engineer,0.3,Medium
EMP-100619,DEPT-04,SITE-04,Design Engineer,0.07,Low
EMP-100620,DEPT-05,SITE-01,Test Engineer,0.26,Medium
EMP-100621,DEPT-06,SITE-02,Buyer,0.08,Low
EMP-100622,DEPT-07,SITE-03,Financial Analyst,0.31,Medium
EMP-100623,DEPT-08,SITE-04,HR Generalist,0.09,Low
EMP-100624,DEPT-09,SITE-01,IT Support,0.07,Low
EMP-100625,DEPT-10,SITE-02,Program Manager,0.29,Medium
EMP-100626,DEPT-11,SITE-03,Account Executive,0.17,Low
EMP-100627,DEPT-01,SITE-04,Maintenance Technician,0.27,Medium
EMP-100628,DEPT-02,SITE-01,EHS Specialist,0.07,Low
EMP-100629,DEPT-03,SITE-02,Contracts Administrator,0.21,Low
EMP-100630,DEPT-04,SITE-03,Assembler,0.25,Low
EMP-100631,DEPT-05,SITE-04,CNC Machinist,0.16,Low
EMP-100632,DEPT-06,SITE-01,Quality Inspector,0.22,Low
EMP-100633,DEPT-07,SITE-02,Manufacturing Engineer,0.33,Medium
EMP-100634,DEPT-08,SITE-03,Design Engineer,0.34,Medium
EMP-100635,DEPT-09,SITE-04,Test Engineer,0.23,Low
EMP-100636,DEPT-10,SITE-01,Buyer,0.3,Medium
EMP-100637,DEPT-11,SITE-02,Financial Analyst,0.32,Medium
EMP-100638,DEPT-01,SITE-03,HR Generalist,0.31,Medium
EMP-100639,DEPT-02,SITE-04,IT Support,0.3,Medium
EMP-100640,DEPT-03,SITE-01,Program Manager,0.28,Medium
EMP-100641,DEPT-04,SITE-02,Account Executive,0.33,Medium
EMP-100642,DEPT-05,SITE-03,Maintenance Technician,0.31,Medium
EMP-100643,DEPT-06,SITE-04,EHS Specialist,0.1,Low
EMP-100644,DEPT-07,SITE-01,Contracts Administrator,0.21,Low
EMP-100645,DEPT-08,SITE-02,Assembler,0.05,Low
EMP-100646,DEPT-09,SITE-03,CNC Machinist,0.26,Medium
EMP-100647,DEPT-10,SITE-04,Quality Inspector,0.17,Low
EMP-100648,DEPT-11,SITE-01,Manufacturing Engineer,0.26,Medium
EMP-100649,DEPT-01,SITE-02,Design Engineer,0.11,Low
EMP-100650,DEPT-02,SITE-03,Test Engineer,0.23,Low
EMP-100651,DEPT-03,SITE-04,Buyer,0.16,Low
EMP-100652,DEPT-04,SITE-01,Financial Analyst,0.14,Low
EMP-100653,DEPT-05,SITE-02,HR Generalist,0.07,Low
EMP-100654,DEPT-06,SITE-03,IT Support,0.24,Low
EMP-100655,DEPT-07,SITE-04,Program Manager,0.17,Low
EMP-100656,DEPT-08,SITE-01,Account Executive,0.08,Low
EMP-100657,DEPT-09,SITE-02,Maintenance Technician,0.17,Low
EMP-100658,DEPT-10,SITE-03,EHS Specialist,0.09,Low
EMP-100659,DEPT-11,SITE-04,Contracts Administrator,0.08,Low
EMP-100660,DEPT-01,SITE-01,Assembler,0.1,Low
EMP-100661,DEPT-02,SITE-02,CNC Machinist,0.2,Low
EMP-100662,DEPT-03,SITE-03,Quality Inspector,0.29,Medium
EMP-100663,DEPT-04,SITE-04,Manufacturing Engineer,0.11,Low
EMP-100664,DEPT-05,SITE-01,Design Engineer,0.27,Medium
EMP-100665,DEPT-06,SITE-02,Test Engineer,0.34,Medium
EMP-100666,DEPT-07,SITE-03,Buyer,0.32,Medium
EMP-100667,DEPT-08,SITE-04,Financial Analyst,0.33,Medium
EMP-100668,DEPT-09,SITE-01,HR Generalist,0.3,Medium
EMP-100669,DEPT-10,SITE-02,IT Support,0.17,Low
EMP-100670,DEPT-11,SITE-03,Program Manager,0.23,Low
EMP-100671,DEPT-01,SITE-04,Account Executive,0.3,Medium
EMP-100672,DEPT-02,SITE-01,Maintenance Technician,0.11,Low
EMP-100673,DEPT-03,SITE-02,EHS Specialist,0.11,Low
EMP-100674,DEPT-04,SITE-03,Contracts Administrator,0.24,Low
EMP-100675,DEPT-05,SITE-04,Assembler,0.33,Medium
EMP-100676,DEPT-06,SITE-01,CNC Machinist,0.84,High
EMP-100677,DEPT-07,SITE-02,Quality Inspector,0.33,Medium
EMP-100678,DEPT-08,SITE-03,Manufacturing Engineer,0.31,Medium
EMP-100679,DEPT-09,SITE-04,Design Engineer,0.34,Medium
EMP-100680,DEPT-10,SITE-01,Test Engineer,0.12,Low
EMP-100681,DEPT-11,SITE-02,Buyer,0.13,Low
EMP-100682,DEPT-01,SITE-03,Financial Analyst,0.14,Low
EMP-100683,DEPT-02,SITE-04,HR Generalist,0.12,Low
EMP-100684,DEPT-03,SITE-01,IT Support,0.14,Low
EMP-100685,DEPT-04,SITE-02,Program Manager,0.23,Low
EMP-100686,DEPT-05,SITE-03,Account Executive,0.28,Medium
EMP-100687,DEPT-06,SITE-04,Maintenance Technician,0.1,Low
EMP-100688,DEPT-07,SITE-01,EHS Specialist,0.2,Low
EMP-100689,DEPT-08,SITE-02,Contracts Administrator,0.34,Medium
EMP-100690,DEPT-09,SITE-03,Assembler,0.25,Medium
EMP-100691,DEPT-10,SITE-04,CNC Machinist,0.34,Medium
EMP-100692,DEPT-11,SITE-01,Quality Inspector,0.08,Low
EMP-100693,DEPT-01,SITE-02,Manufacturing Engineer,0.22,Low
EMP-100694,DEPT-02,SITE-03,Design Engineer,0.24,Low
EMP-100695,DEPT-03,SITE-04,Test Engineer,0.27,Medium
EMP-100696,DEPT-04,SITE-01,Buyer,0.14,Low
EMP-100697,DEPT-05,SITE-02,Financial Analyst,0.18,Low
EMP-100698,DEPT-06,SITE-03,HR Generalist,0.35,Medium
EMP-100699,DEPT-07,SITE-04,IT Support,0.33,Medium
EMP-100700,DEPT-08,SITE-01,Program Manager,0.17,Low
EMP-100701,DEPT-09,SITE-02,Account Executive,0.13,Low
EMP-100702,DEPT-10,SITE-03,Maintenance Technician,0.07,Low
EMP-100703,DEPT-11,SITE-04,EHS Specialist,0.25,Medium
EMP-100704,DEPT-01,SITE-01,Contracts Administrator,0.08,Low
EMP-100705,DEPT-02,SITE-02,Assembler,0.21,Low
EMP-100706,DEPT-03,SITE-03,CNC Machinist,0.19,Low
EMP-100707,DEPT-04,SITE-04,Quality Inspector,0.12,Low
EMP-100708,DEPT-05,SITE-01,Manufacturing Engineer,0.3,Medium
EMP-100709,DEPT-06,SITE-02,Design Engineer,0.13,Low
EMP-100710,DEPT-07,SITE-03,Test Engineer,0.12,Low
EMP-100711,DEPT-08,SITE-04,Buyer,0.31,Medium
EMP-100712,DEPT-09,SITE-01,Financial Analyst,0.25,Medium
EMP-100713,DEPT-10,SITE-02,HR Generalist,0.17,Low
EMP-100714,DEPT-11,SITE-03,IT Support,0.24,Low
EMP-100715,DEPT-01,SITE-04,Program Manager,0.19,Low
EMP-100716,DEPT-02,SITE-01,Account Executive,0.32,Medium
EMP-100717,DEPT-03,SITE-02,Maintenance Technician,0.06,Low
EMP-100718,DEPT-04,SITE-03,EHS Specialist,0.11,Low
EMP-100719,DEPT-05,SITE-04,Contracts Administrator,0.3,Medium
EMP-100720,DEPT-06,SITE-01,Assembler,0.25,Low
EMP-100721,DEPT-07,SITE-02,CNC Machinist,0.15,Low
EMP-100722,DEPT-08,SITE-03,Quality Inspector,0.21,Low
EMP-100723,DEPT-09,SITE-04,Manufacturing Engineer,0.15,Low
EMP-100724,DEPT-10,SITE-01,Design Engineer,0.1,Low
EMP-100725,DEPT-11,SITE-02,Test Engineer,0.23,Low
EMP-100726,DEPT-01,SITE-03,Buyer,0.23,Low
EMP-100727,DEPT-02,SITE-04,Financial Analyst,0.09,Low
EMP-100728,DEPT-03,SITE-01,HR Generalist,0.13,Low
EMP-100729,DEPT-04,SITE-02,IT Support,0.2,Low
EMP-100730,DEPT-05,SITE-03,Program Manager,0.08,Low
EMP-100731,DEPT-06,SITE-04,Account Executive,0.08,Low
EMP-100732,DEPT-07,SITE-01,Maintenance Technician,0.3,Medium
EMP-100733,DEPT-08,SITE-02,EHS Specialist,0.21,Low
EMP-100734,DEPT-09,SITE-03,Contracts Administrator,0.08,Low
EMP-100735,DEPT-10,SITE-04,Assembler,0.22,Low
EMP-100736,DEPT-11,SITE-01,CNC Machinist,0.83,High
EMP-100737,DEPT-01,SITE-02,Quality Inspector,0.21,Low
EMP-100738,DEPT-02,SITE-03,Manufacturing Engineer,0.16,Low
EMP-100739,DEPT-03,SITE-04,Design Engineer,0.3,Medium
EMP-100740,DEPT-04,SITE-01,Test Engineer,0.11,Low
EMP-100741,DEPT-05,SITE-02,Buyer,0.34,Medium
EMP-100742,DEPT-06,SITE-03,Financial Analyst,0.24,Low
EMP-100743,DEPT-07,SITE-04,HR Generalist,0.25,Medium
EMP-100744,DEPT-08,SITE-01,IT Support,0.12,Low
EMP-100745,DEPT-09,SITE-02,Program Manager,0.25,Low
EMP-100746,DEPT-10,SITE-03,Account Executive,0.16,Low
EMP-100747,DEPT-11,SITE-04,Maintenance Technician,0.15,Low
EMP-100748,DEPT-01,SITE-01,EHS Specialist,0.35,Medium
EMP-100749,DEPT-02,SITE-02,Contracts Administrator,0.33,Medium
EMP-100750,DEPT-03,SITE-03,Assembler,0.28,Medium
EMP-100751,DEPT-04,SITE-04,CNC Machinist,0.21,Low
EMP-100752,DEPT-05,SITE-01,Quality Inspector,0.21,Low
EMP-100753,DEPT-06,SITE-02,Manufacturing Engineer,0.21,Low
EMP-100754,DEPT-07,SITE-03,Design Engineer,0.24,Low
EMP-100755,DEPT-08,SITE-04,Test Engineer,0.14,Low
EMP-100756,DEPT-09,SITE-01,Buyer,0.12,Low
EMP-100757,DEPT-10,SITE-02,Financial Analyst,0.26,Medium
EMP-100758,DEPT-11,SITE-03,HR Generalist,0.15,Low
EMP-100759,DEPT-01,SITE-04,IT Support,0.28,Medium
EMP-100760,DEPT-02,SITE-01,Program Manager,0.08,Low
EMP-100761,DEPT-03,SITE-02,Account Executive,0.28,Medium
EMP-100762,DEPT-04,SITE-03,Maintenance Technician,0.24,Low
EMP-100763,DEPT-05,SITE-04,EHS Specialist,0.26,Medium
EMP-100764,DEPT-06,SITE-01,Contracts Administrator,0.13,Low
EMP-100765,DEPT-07,SITE-02,Assembler,0.29,Medium
EMP-100766,DEPT-08,SITE-03,CNC Machinist,0.26,Medium
EMP-100767,DEPT-09,SITE-04,Quality Inspector,0.14,Low
EMP-100768,DEPT-10,SITE-01,Manufacturing Engineer,0.33,Medium
EMP-100769,DEPT-11,SITE-02,Design Engineer,0.13,Low
EMP-100770,DEPT-01,SITE-03,Test Engineer,0.12,Low
EMP-100771,DEPT-02,SITE-04,Buyer,0.29,Medium
EMP-100772,DEPT-03,SITE-01,Financial Analyst,0.26,Medium
EMP-100773,DEPT-04,SITE-02,HR Generalist,0.24,Low
EMP-100774,DEPT-05,SITE-03,IT Support,0.26,Medium
EMP-100775,DEPT-06,SITE-04,Program Manager,0.29,Medium
EMP-100776,DEPT-07,SITE-01,Account Executive,0.17,Low
EMP-100777,DEPT-08,SITE-02,Maintenance Technician,0.32,Medium
EMP-100778,DEPT-09,SITE-03,EHS Specialist,0.06,Low
EMP-100779,DEPT-10,SITE-04,Contracts Administrator,0.21,Low
EMP-100780,DEPT-11,SITE-01,Assembler,0.15,Low
EMP-100781,DEPT-01,SITE-02,CNC Machinist,0.26,Medium
EMP-100782,DEPT-02,SITE-03,Quality Inspector,0.23,Low
EMP-100783,DEPT-03,SITE-04,Manufacturing Engineer,0.34,Medium
EMP-100784,DEPT-04,SITE-01,Design Engineer,0.11,Low
EMP-100785,DEPT-05,SITE-02,Test Engineer,0.17,Low
EMP-100786,DEPT-06,SITE-03,Buyer,0.2,Low
EMP-100787,DEPT-07,SITE-04,Financial Analyst,0.25,Medium
EMP-100788,DEPT-08,SITE-01,HR Generalist,0.12,Low
EMP-100789,DEPT-09,SITE-02,IT Support,0.12,Low
EMP-100790,DEPT-10,SITE-03,Program Manager,0.32,Medium
EMP-100791,DEPT-11,SITE-04,Account Executive,0.06,Low
EMP-100792,DEPT-01,SITE-01,Maintenance Technician,0.08,Low
EMP-100793,DEPT-02,SITE-02,EHS Specialist,0.23,Low
EMP-100794,DEPT-03,SITE-03,Contracts Administrator,0.29,Medium
EMP-100795,DEPT-04,SITE-04,Assembler,0.23,Low
EMP-100796,DEPT-05,SITE-01,CNC Machinist,0.84,High
EMP-100797,DEPT-06,SITE-02,Quality Inspector,0.13,Low
EMP-100798,DEPT-07,SITE-03,Manufacturing Engineer,0.24,Low
EMP-100799,DEPT-08,SITE-04,Design Engineer,0.17,Low
EMP-100800,DEPT-09,SITE-01,Test Engineer,0.09,Low
EMP-100801,DEPT-10,SITE-02,Buyer,0.31,Medium
EMP-100802,DEPT-11,SITE-03,Financial Analyst,0.15,Low
EMP-100803,DEPT-01,SITE-04,HR Generalist,0.16,Low
EMP-100804,DEPT-02,SITE-01,IT Support,0.3,Medium
EMP-100805,DEPT-03,SITE-02,Program Manager,0.2,Low
