week_ending,line_id,product_id,planned_units,actual_units,scrap_units,scrap_rate_pct,downtime_hours
2025-07-13,L3,P001,668,612,14,2.35,3.4
2025-07-13,L4,P007,549,530,9,1.71,0.8
2025-07-20,L1,P003,507,447,7,1.67,2.9
2025-07-20,L2,P005,602,555,13,2.38,1.7
2025-07-20,L3,P007,503,453,10,2.35,0.7
2025-07-20,L4,P008,480,454,11,2.47,4.7
2025-07-27,L1,P004,883,793,18,2.39,0.8
2025-07-27,L2,P005,800,767,15,2.0,4.0
2025-07-27,L3,P007,813,788,13,1.75,0
2025-07-27,L4,P004,839,813,12,1.53,0
2025-08-03,L1,P001,765,738,11,1.6,4.7
2025-08-03,L2,P007,491,475,11,2.47,2.5
2025-08-03,L3,P006,556,492,11,2.25,2.3
2025-08-03,L4,P007,477,426,8,2.07,5.1
2025-08-10,L1,P001,661,600,11,1.93,4.5
2025-08-10,L2,P007,782,691,14,2.16,5.3
2025-08-10,L3,P001,551,505,7,1.52,1.9
2025-08-10,L4,P006,502,464,9,2.13,5.0
2025-08-17,L1,P007,856,816,19,2.4,5.8
2025-08-17,L2,P007,599,560,11,2.05,5.9
2025-08-17,L3,P004,834,796,19,2.41,0.8
2025-08-17,L4,P003,866,815,13,1.65,3.4
2025-08-24,L1,P004,577,521,9,1.75,0
2025-08-24,L2,P008,439,417,8,2.14,3.1
2025-08-24,L3,P003,715,662,10,1.52,4.1
2025-08-24,L4,P006,727,700,10,1.53,2.9
2025-08-31,L1,P005,676,615,14,2.43,0
2025-08-31,L2,P002,655,621,10,1.75,2.2
2025-08-31,L3,P005,776,739,12,1.67,0
2025-08-31,L4,P003,549,520,10,2.08,5.0
2025-09-07,L1,P003,659,636,15,2.4,4.8
2025-09-07,L2,P003,424,392,9,2.36,0
2025-09-07,L3,P003,456,435,10,2.37,1.2
2025-09-07,L4,P003,613,572,9,1.67,0
2025-09-14,L1,P006,788,697,15,2.24,0
2025-09-14,L2,P003,542,513,10,2.1,3.8
2025-09-14,L3,P004,427,385,9,2.46,0
2025-09-14,L4,P006,423,400,6,1.67,2.7
2025-09-21,L1,P003,803,776,15,2.06,2.0
2025-09-21,L2,P001,788,758,18,2.45,0
2025-09-21,L3,P004,646,605,11,1.85,3.7
2025-09-21,L4,P005,479,457,9,2.06,3.4
2025-09-28,L1,P004,515,498,10,2.02,0
2025-09-28,L2,P002,547,508,10,2.16,0
2025-09-28,L3,P001,663,602,9,1.52,0
2025-09-28,L4,P005,879,826,19,2.35,0
2025-10-05,L1,P006,699,616,11,1.81,5.5
2025-10-05,L2,P008,649,581,9,1.56,1.9
2025-10-05,L3,P005,640,596,10,1.73,0.9
2025-10-05,L4,P002,648,625,14,2.35,1.6
2025-10-12,L1,P005,582,532,11,2.18,2.0
2025-10-12,L2,P007,568,534,10,1.99,2.1
2025-10-12,L3,P005,706,645,12,1.88,1.2
2025-10-12,L4,P007,593,560,12,2.27,0
2025-10-19,L1,P008,534,474,7,1.51,0.5
2025-10-19,L2,P007,664,619,12,2.0,5.1
2025-10-19,L3,P003,804,746,18,2.44,0
2025-10-19,L4,P001,556,500,8,1.75,2.7
2025-10-26,L1,P003,602,562,12,2.21,2.9
2025-10-26,L2,P003,753,724,13,1.92,3.6
2025-10-26,L3,P001,511,480,7,1.6,3.1
2025-10-26,L4,P002,635,576,10,1.76,0
2025-11-02,L1,P002,527,479,9,1.99,0
2025-11-02,L2,P003,712,679,16,2.45,3.9
2025-11-02,L3,P001,507,489,11,2.26,3.8
2025-11-02,L4,P003,779,734,17,2.35,4.1
2025-11-09,L1,P006,496,444,10,2.31,0
2025-11-09,L2,P004,548,517,7,1.53,3.9
2025-11-09,L3,P008,827,781,15,1.96,4.5
2025-11-09,L4,P004,744,712,13,1.95,2.0
2025-11-16,L1,P001,694,672,13,1.96,2.2
2025-11-16,L2,P007,900,861,17,2.07,0
2025-11-16,L3,P004,712,651,14,2.28,1.6
2025-11-16,L4,P005,410,373,6,1.71,0
2025-11-23,L1,P002,872,771,18,2.37,5.0
2025-11-23,L2,P008,894,857,16,1.93,0
2025-11-23,L3,P004,416,383,8,2.21,1.1
2025-11-23,L4,P008,738,679,10,1.57,0
2025-11-30,L1,P002,598,543,10,1.96,1.9
2025-11-30,L2,P002,460,406,8,2.04,6.0
2025-11-30,L3,P007,630,607,9,1.61,2.3
2025-11-30,L4,P008,755,675,15,2.33,1.3
2025-12-07,L1,P002,485,463,10,2.26,0
2025-12-07,L2,P006,866,812,14,1.76,0
2025-12-07,L3,P002,719,689,10,1.53,1.0
2025-12-07,L4,P006,746,723,16,2.28,0
2025-12-14,L1,P004,638,602,9,1.56,0
2025-12-14,L2,P004,633,608,10,1.7,2.5
2025-12-14,L3,P007,897,829,16,1.99,4.6
2025-12-14,L4,P005,530,492,11,2.42,4.6
2025-12-21,L1,P001,402,355,7,2.23,2.9
2025-12-21,L2,P007,423,377,8,2.27,0
2025-12-21,L3,P001,772,708,17,2.47,4.7
2025-12-21,L4,P008,481,448,9,2.02,4.5
2025-12-28,L1,P006,783,744,12,1.65,0
2025-12-28,L2,P005,532,515,11,2.21,4.6
2025-12-28,L3,P003,858,821,13,1.61,0
2025-12-28,L4,P008,753,675,12,1.91,0
2026-01-04,L1,P006,541,497,12,2.44,5.1
2026-01-04,L2,P004,888,834,20,2.41,0
2026-01-04,L3,P006,496,479,10,2.24,4.1
2026-01-04,L4,P001,807,741,17,2.31,3.6
2026-01-11,L1,P004,765,700,15,2.27,2.1
2026-01-11,L2,P004,758,668,10,1.56,0
2026-01-11,L3,P006,593,572,8,1.56,1.6
2026-01-11,L4,P002,609,573,13,2.35,1.3
2026-01-18,L1,P001,624,555,9,1.66,6.0
2026-01-18,L2,P008,452,415,7,1.71,0
2026-01-18,L3,P001,610,584,13,2.26,4.3
2026-01-18,L4,P003,691,652,15,2.42,0
2026-01-25,L1,P004,662,615,9,1.6,0
2026-01-25,L2,P007,636,582,14,2.43,5.4
2026-01-25,L3,P001,473,447,8,1.81,0
2026-01-25,L4,P007,727,704,12,1.73,3.3
2026-02-01,L1,P007,539,517,8,1.63,5.0
2026-02-01,L2,P007,813,749,17,2.39,4.1
2026-02-01,L3,P004,623,583,11,1.89,0
2026-02-01,L4,P006,763,726,13,1.85,0
2026-02-08,L1,P003,601,578,10,1.74,3.9
2026-02-08,L2,P008,515,457,7,1.64,0
2026-02-08,L3,P001,817,778,15,1.93,2.7
2026-02-08,L4,P006,546,512,9,1.82,0
2026-02-15,L1,P003,542,484,11,2.47,5.2
2026-02-15,L2,P005,513,466,10,2.2,0
2026-02-15,L3,P007,867,768,15,2.05,3.5
2026-02-15,L4,P002,522,505,10,2.02,0
2026-02-22,L1,P008,514,460,7,1.72,0
2026-02-22,L2,P008,838,779,18,2.44,0
2026-02-22,L3,P007,551,502,11,2.33,1.1
2026-02-22,L4,P002,415,381,9,2.49,2.5
2026-03-01,L1,P008,404,368,9,2.46,0
2026-03-01,L2,P006,418,388,8,2.11,0
2026-03-01,L3,P005,548,486,11,2.27,4.2
2026-03-01,L4,P007,735,658,16,2.43,3.8
2026-03-08,L1,P007,526,477,7,1.52,1.5
2026-03-08,L2,P006,432,394,8,2.25,0
2026-03-08,L3,P008,755,729,11,1.58,3.1
2026-03-08,L4,P005,701,637,9,1.57,0
2026-03-15,L1,P008,810,727,16,2.27,5.3
2026-03-15,L2,P001,742,657,17,2.66,1.4
2026-03-15,L3,P004,880,795,17,2.26,4.3
2026-03-15,L4,P002,563,502,11,2.2,0
2026-03-22,L1,P006,527,470,7,1.64,0
2026-03-22,L2,P005,862,826,21,2.55,0
2026-03-22,L3,P002,401,356,7,2.03,3.7
2026-03-22,L4,P008,437,408,8,2.04,5.1
2026-03-29,L1,P005,526,484,11,2.29,4.2
2026-03-29,L2,P002,814,726,19,2.68,4.6
2026-03-29,L3,P004,404,381,7,2.02,3.3
2026-03-29,L4,P001,568,543,13,2.41,3.5
2026-04-05,L1,P005,408,366,6,1.78,0
2026-04-05,L2,P006,417,387,11,3.03,0
2026-04-05,L3,P001,573,523,12,2.45,5.8
2026-04-05,L4,P007,814,775,16,2.09,0
2026-04-12,L1,P002,798,719,11,1.57,2.8
2026-04-12,L2,P005,614,541,15,2.83,0
2026-04-12,L3,P003,867,837,14,1.79,3.0
2026-04-12,L4,P007,797,719,14,2.01,4.3
2026-04-19,L1,P006,689,638,10,1.69,0
2026-04-19,L2,P001,634,604,18,3.06,3.6
2026-04-19,L3,P005,699,671,14,2.22,5.2
2026-04-19,L4,P007,402,384,6,1.65,0.9
2026-04-26,L1,P005,781,717,13,1.92,0
2026-04-26,L2,P008,766,736,22,3.11,2.4
2026-04-26,L3,P002,508,448,11,2.48,0
2026-04-26,L4,P001,555,500,10,2.0,0
2026-05-03,L1,P007,548,514,9,1.9,3.4
2026-05-03,L2,P003,848,801,30,3.83,0
2026-05-03,L3,P004,806,773,17,2.27,0
2026-05-03,L4,P001,641,621,15,2.49,0
2026-05-10,L1,P008,597,539,13,2.42,5.4
2026-05-10,L2,P006,817,780,30,3.89,2.3
2026-05-10,L3,P007,460,425,6,1.51,3.3
2026-05-10,L4,P004,559,536,8,1.54,2.0
2026-05-17,L1,P005,830,740,15,2.14,2.4
2026-05-17,L2,P002,701,627,23,3.8,2.6
2026-05-17,L3,P004,491,448,10,2.42,1.3
2026-05-17,L4,P008,623,586,9,1.64,1.8
2026-05-24,L1,P003,640,582,14,2.41,1.6
2026-05-24,L2,P006,894,814,35,4.4,0
2026-05-24,L3,P001,482,463,10,2.28,0
2026-05-24,L4,P003,857,793,12,1.59,0.9
2026-05-31,L1,P001,615,548,9,1.8,0
2026-05-31,L2,P001,468,443,19,4.3,2.0
2026-05-31,L3,P004,797,727,12,1.71,5.3
2026-05-31,L4,P005,756,682,10,1.57,0
2026-06-07,L1,P003,886,798,17,2.2,0
2026-06-07,L2,P007,829,778,33,4.26,3.7
2026-06-07,L3,P001,854,784,16,2.14,0
2026-06-07,L4,P005,640,590,12,2.13,0
2026-06-14,L1,P002,440,413,6,1.56,1.8
2026-06-14,L2,P005,526,497,23,4.79,0.6
2026-06-14,L3,P002,728,676,13,1.97,3.9
2026-06-14,L4,P006,729,656,15,2.37,0
2026-06-21,L1,P005,472,421,7,1.71,3.9
2026-06-21,L2,P003,535,476,23,5.0,3.0
2026-06-21,L3,P003,633,583,10,1.86,0
2026-06-21,L4,P001,484,469,10,2.16,5.3
2026-06-28,L1,P003,447,397,9,2.43,2.9
2026-06-28,L2,P001,516,487,21,4.5,5.0
2026-06-28,L3,P008,677,646,15,2.37,4.8
2026-06-28,L4,P005,636,578,12,2.19,0
