wo_id,product_id,line_id,start_date,end_date,status,planned_hrs,actual_hrs
WO00377,P007,L3,2025-11-25,2025-12-04,Completed,52.2,53.5
WO00378,P013,L4,2026-05-10,2026-05-19,Completed,14.1,16.5
WO00379,P015,L2,2025-03-01,2025-03-11,Completed,20.2,21.5
WO00380,P013,L4,2025-12-01,2025-12-14,Completed,43.1,47.1
WO00381,P008,L3,2025-03-05,2025-03-20,Completed,43.7,49.0
WO00382,P007,L4,2025-07-05,2025-07-16,Completed,21.7,25.6
WO00383,P002,L3,2026-06-27,2026-06-28,Completed,45.3,45.4
WO00384,P008,L3,2026-01-18,2026-01-22,Completed,12.2,15.6
WO00385,P010,L2,2025-06-12,2025-06-22,Completed,35.4,29.6
WO00386,P012,L2,2026-04-21,2026-05-02,Completed,17.0,17.3
WO00387,P002,L1,2025-01-09,2025-01-14,Completed,59.3,65.9
WO00388,P013,L3,2026-01-30,2026-02-06,Completed,28.2,33.9
WO00389,P009,L4,2025-12-26,2026-01-10,Completed,8.2,7.4
WO00390,P003,L1,2025-09-09,2025-09-22,Completed,9.8,11.2
WO00391,P001,L1,2025-10-23,2025-11-02,Completed,65.3,61.2
WO00392,P002,L4,2025-06-11,2025-06-30,Completed,67.2,75.8
WO00393,P002,L1,2025-08-05,2025-08-19,Completed,41.5,44.2
WO00394,P001,L4,2025-08-16,2025-08-21,Completed,57.9,68.7
WO00395,P012,L3,2025-02-10,2025-02-13,Completed,77.0,79.2
WO00396,P014,L2,2025-02-04,2025-02-12,Completed,76.2,79.4
WO00397,P010,L4,2025-04-14,2025-05-01,Completed,24.1,29.3
WO00398,P010,L1,2026-04-22,2026-05-08,Completed,64.8,59.4
WO00399,P004,L1,2026-03-03,2026-03-22,Completed,64.4,65.9
WO00400,P010,L2,2026-05-18,2026-05-28,Completed,35.4,29.2
WO00401,P001,L1,2026-02-14,2026-03-07,Completed,50.3,56.6
WO00402,P008,L4,2025-10-27,2025-10-29,Completed,4.1,4.7
WO00403,P001,L1,2026-06-10,2026-06-17,Completed,14.1,15.7
WO00404,P012,L4,2026-01-26,2026-01-29,Completed,45.4,44.9
WO00405,P001,L3,2025-09-07,2025-09-22,Completed,7.1,7.5
WO00406,P014,L1,2025-04-13,2025-04-14,Completed,73.9,86.8
WO00407,P003,L1,2025-06-23,2025-07-06,Completed,46.5,42.3
WO00408,P010,L1,2025-11-23,2025-11-27,Completed,68.2,55.8
WO00409,P015,L1,2025-03-11,2025-03-24,Completed,47.0,56.2
WO00410,P012,L1,2025-01-06,2025-01-19,Completed,73.6,74.9
WO00411,P009,L4,2025-03-08,2025-03-10,Completed,67.7,57.9
WO00412,P010,L3,2025-03-23,2025-03-26,Completed,64.2,81.5
WO00413,P007,L2,2025-07-03,2025-07-21,Completed,15.4,13.5
WO00414,P002,L4,2025-09-21,2025-09-26,Completed,73.3,92.3
WO00415,P015,L3,2026-06-04,2026-06-25,Completed,33.3,33.8
WO00416,P003,L1,2025-03-06,2025-03-22,Completed,5.5,6.6
WO00417,P014,L3,2025-09-17,2025-09-27,Completed,63.8,70.0
WO00418,P006,L3,2025-02-06,2025-02-12,Completed,57.7,72.8
WO00419,P003,L1,2026-06-15,2026-06-20,Completed,73.6,89.6
WO00420,P005,L1,2025-12-06,2025-12-21,Completed,76.0,84.3
WO00421,P006,L1,2025-06-24,2025-07-04,Completed,14.8,13.7
WO00422,P013,L2,2026-03-05,2026-03-12,Completed,22.6,22.3
WO00423,P004,L1,2026-04-20,2026-05-11,Completed,28.3,29.8
WO00424,P008,L1,2025-07-18,2025-07-23,Completed,4.2,3.4
WO00425,P002,L2,2025-05-14,2025-05-15,Completed,21.9,26.0
WO00426,P007,L4,2026-03-12,2026-03-27,Completed,25.3,26.8
WO00427,P003,L2,2026-06-07,2026-06-23,Completed,46.2,48.5
WO00428,P004,L1,2025-02-14,2025-02-24,Completed,50.5,46.2
WO00429,P012,L4,2026-03-04,2026-03-17,Completed,69.9,82.4
WO00430,P007,L2,2026-01-23,2026-01-25,Completed,52.1,66.4
WO00431,P012,L4,2025-11-16,2025-12-06,Completed,49.5,62.0
WO00432,P011,L1,2025-09-21,2025-10-07,Completed,13.3,13.4
WO00433,P014,L3,2025-09-21,2025-10-02,Completed,52.5,64.3
WO00434,P012,L3,2026-02-21,2026-03-05,Completed,39.6,45.9
WO00435,P002,L2,2026-04-07,2026-04-11,Completed,30.2,28.0
WO00436,P008,L2,2025-06-28,2025-07-15,Completed,73.1,75.4
WO00437,P004,L2,2025-06-27,2025-07-12,Completed,62.3,63.1
WO00438,P006,L3,2026-07-02,2026-07-23,In Progress,26.0,27.3
WO00439,P013,L3,2026-03-15,2026-03-25,Completed,30.0,28.1
WO00440,P001,L2,2025-01-31,2025-02-01,Completed,15.8,13.4
WO00441,P005,L2,2026-01-29,2026-02-12,Completed,28.8,35.3
WO00442,P010,L3,2026-01-03,2026-01-10,Completed,46.1,49.6
WO00443,P004,L2,2025-09-12,2025-09-22,Completed,64.0,61.9
WO00444,P004,L2,2025-12-24,2026-01-06,Completed,35.7,43.0
WO00445,P003,L4,2026-01-09,2026-01-25,Completed,55.0,52.3
WO00446,P015,L2,2025-01-06,2025-01-14,Completed,67.9,75.2
WO00447,P001,L1,2025-07-26,2025-08-03,Completed,65.5,67.7
WO00448,P007,L1,2025-03-21,2025-04-02,Completed,55.1,57.4
WO00449,P001,L1,2025-11-15,2025-11-18,Completed,12.8,10.7
WO00450,P012,L1,2026-01-25,2026-01-30,Completed,20.1,19.6
WO00451,P010,L3,2025-06-14,2025-07-02,Completed,9.6,9.4
WO00452,P008,L4,2025-12-12,2025-12-14,Completed,47.8,39.8
WO00453,P004,L4,2026-01-09,2026-01-10,Completed,32.1,32.7
WO00454,P012,L2,2025-05-04,2025-05-16,Completed,8.9,10.0
WO00455,P010,L1,2025-03-05,2025-03-06,Completed,53.0,65.1
WO00456,P005,L2,2025-01-16,2025-01-18,Completed,14.6,15.2
WO00457,P003,L1,2026-01-20,2026-01-31,Completed,34.2,32.3
WO00458,P008,L4,2025-07-13,2025-07-31,Completed,4.6,5.1
WO00459,P003,L4,2025-07-22,2025-07-28,Completed,70.2,84.6
WO00460,P007,L2,2025-04-13,2025-04-16,Completed,27.5,23.1
WO00461,P001,L4,2025-12-14,2025-12-22,Completed,69.3,72.9
WO00462,P014,L4,2025-03-22,2025-03-31,Completed,12.3,15.1
WO00463,P003,L4,2025-10-26,2025-10-31,Completed,49.0,40.0
WO00464,P007,L3,2026-01-26,2026-01-30,Completed,25.4,22.8
WO00465,P012,L2,2026-06-03,2026-06-06,Completed,35.4,33.6
WO00466,P012,L2,2025-11-17,2025-11-27,Completed,70.3,68.7
WO00467,P005,L4,2025-09-23,2025-10-01,Completed,46.4,50.7
WO00468,P008,L3,2025-05-17,2025-06-03,Completed,76.1,79.3
WO00469,P014,L2,2025-11-09,2025-11-20,Completed,66.1,68.0
WO00470,P010,L2,2025-07-11,2025-07-21,Completed,29.8,34.1
WO00471,P001,L3,2025-06-05,2025-06-09,Completed,5.6,4.8
WO00472,P011,L4,2025-05-02,2025-05-06,Completed,61.8,75.3
WO00473,P008,L3,2025-10-14,2025-10-26,Completed,19.9,23.3
WO00474,P011,L1,2025-12-21,2026-01-05,Completed,57.5,61.7
WO00475,P007,L2,2026-03-18,2026-04-07,Completed,17.4,20.7
WO00476,P004,L3,2025-09-05,2025-09-06,Completed,6.5,7.4
WO00477,P015,L2,2025-12-21,2026-01-02,Completed,75.6,83.0
WO00478,P014,L2,2026-01-14,2026-01-27,Completed,56.7,58.2
WO00479,P014,L4,2025-08-12,2025-08-16,Completed,17.4,17.0
WO00480,P005,L3,2026-06-28,2026-07-14,Open,65.3,56.3
WO00481,P012,L1,2025-03-06,2025-03-21,Completed,30.7,32.1
WO00482,P011,L2,2026-01-09,2026-01-27,Completed,18.9,16.5
WO00483,P005,L2,2025-05-08,2025-05-19,Completed,10.6,10.8
WO00484,P005,L3,2025-08-14,2025-09-01,Completed,41.7,44.8
WO00485,P002,L4,2025-03-12,2025-03-20,Completed,28.6,32.7
WO00486,P010,L2,2025-12-23,2026-01-09,Completed,55.7,46.9
WO00487,P001,L3,2025-10-13,2025-10-31,Completed,72.1,85.7
WO00488,P003,L3,2026-03-20,2026-03-26,Completed,58.8,61.3
WO00489,P010,L4,2025-10-15,2025-10-22,Completed,55.2,49.7
WO00490,P002,L4,2025-03-26,2025-03-31,Completed,4.0,4.4
WO00491,P003,L4,2026-07-01,2026-07-17,Completed,46.4,40.7
WO00492,P008,L4,2025-12-05,2025-12-09,Completed,27.9,27.9
WO00493,P008,L2,2025-02-18,2025-03-09,Completed,37.4,47.6
WO00494,P006,L1,2026-01-29,2026-02-11,Completed,50.8,43.3
WO00495,P015,L2,2025-11-18,2025-12-01,Completed,43.4,47.0
WO00496,P005,L3,2025-03-22,2025-04-05,Completed,25.7,27.9
WO00497,P004,L1,2025-03-27,2025-03-30,Completed,28.3,33.3
WO00498,P012,L3,2025-11-16,2025-11-17,Completed,16.9,19.8
WO00499,P003,L1,2026-06-15,2026-06-17,Completed,33.9,38.9
WO00500,P013,L1,2025-09-09,2025-09-23,Completed,23.0,21.1
