po_id,supplier_id,date,due_date,line_items_count,total_value,status
PO00395,SUP020,2025-11-18,2026-01-16,3,983.73,Partial
PO00396,SUP003,2026-05-05,2026-07-02,6,63097.85,Cancelled
PO00397,SUP001,2026-03-20,2026-04-12,6,73800.76,Received
PO00398,SUP024,2026-01-27,2026-02-17,1,24958.57,Partial
PO00399,SUP020,2024-10-05,2024-11-16,2,31060.83,Invoiced
PO00400,SUP018,2025-06-07,2025-08-06,3,58858.69,Invoiced
PO00401,SUP016,2024-10-26,2024-11-20,4,20699.33,Cancelled
PO00402,SUP007,2024-04-24,2024-05-17,11,78678.08,Received
PO00403,SUP020,2024-01-22,2024-02-12,1,4780.07,Open
PO00404,SUP022,2026-03-26,2026-04-02,4,51810.41,Open
PO00405,SUP004,2025-10-20,2025-11-15,1,42038.09,Partial
PO00406,SUP019,2025-04-24,2025-06-04,7,14714.37,Cancelled
PO00407,SUP007,2024-09-15,2024-10-24,5,62986.41,Partial
PO00408,SUP008,2024-03-01,2024-03-29,4,25947.03,Partial
PO00409,SUP025,2025-10-11,2025-11-17,6,75915.07,Open
PO00410,SUP017,2024-05-31,2024-06-21,9,12793.63,Invoiced
PO00411,SUP018,2024-04-09,2024-05-11,2,20187.83,Cancelled
PO00412,SUP021,2024-03-28,2024-05-11,6,58309.1,Invoiced
PO00413,SUP025,2024-01-30,2024-03-08,4,67360.62,Received
PO00414,SUP016,2024-05-04,2024-05-30,7,19365.49,Partial
PO00415,SUP010,2024-05-25,2024-07-05,5,37239.97,Invoiced
PO00416,SUP014,2024-08-07,2024-10-01,11,60852.86,Invoiced
PO00417,SUP015,2024-06-30,2024-07-10,4,81392.48,Received
PO00418,SUP007,2025-06-21,2025-07-12,3,64052.25,Cancelled
PO00419,SUP002,2024-11-15,2024-12-31,5,20701.07,Received
PO00420,SUP016,2025-12-12,2026-01-06,1,14018.2,Partial
PO00421,SUP011,2025-07-16,2025-08-12,10,15757.05,Partial
PO00422,SUP018,2024-02-21,2024-03-09,4,61437.49,Received
PO00423,SUP004,2024-01-30,2024-03-09,2,43119.42,Partial
PO00424,SUP024,2025-07-03,2025-08-25,1,69600.44,Open
PO00425,SUP009,2024-08-29,2024-10-17,9,44606.18,Received
PO00426,SUP016,2024-08-18,2024-09-25,11,65916.65,Partial
PO00427,SUP019,2024-02-17,2024-04-01,10,22403.2,Partial
PO00428,SUP016,2024-04-03,2024-05-14,11,66160.01,Open
PO00429,SUP024,2024-07-25,2024-09-22,3,25527.97,Open
PO00430,SUP014,2024-06-02,2024-06-13,12,24584.46,Cancelled
PO00431,SUP004,2024-08-25,2024-09-14,6,22523.5,Received
PO00432,SUP024,2024-09-10,2024-10-17,1,14761.39,Partial
PO00433,SUP011,2024-12-21,2025-02-14,12,33517.38,Partial
PO00434,SUP021,2025-07-16,2025-07-30,5,10181.81,Partial
PO00435,SUP015,2025-04-10,2025-05-29,2,84539.72,Open
PO00436,SUP024,2025-04-05,2025-04-28,10,11908.84,Received
PO00437,SUP020,2026-05-11,2026-06-14,7,30973.77,Invoiced
PO00438,SUP021,2025-01-09,2025-03-01,2,54483.0,Open
PO00439,SUP019,2024-01-01,2024-02-09,3,65355.44,Cancelled
PO00440,SUP009,2024-11-20,2025-01-08,8,23750.47,Cancelled
PO00441,SUP012,2026-05-27,2026-07-10,11,64180.32,Received
PO00442,SUP012,2024-01-19,2024-02-26,7,74072.36,Received
PO00443,SUP016,2026-05-01,2026-06-21,4,35607.73,Received
PO00444,SUP012,2026-02-12,2026-03-05,8,9984.58,Open
PO00445,SUP010,2025-02-07,2025-03-01,1,42669.47,Open
PO00446,SUP020,2024-12-02,2025-01-11,4,68586.95,Partial
PO00447,SUP006,2026-02-28,2026-04-24,9,78518.87,Cancelled
PO00448,SUP007,2024-06-01,2024-06-23,2,4699.38,Cancelled
PO00449,SUP012,2025-12-05,2026-01-01,8,24274.35,Partial
PO00450,SUP022,2024-10-25,2024-12-09,4,33945.89,Cancelled
PO00451,SUP008,2024-11-29,2024-12-15,2,34304.11,Invoiced
PO00452,SUP008,2024-11-01,2024-11-10,3,77532.21,Invoiced
PO00453,SUP019,2025-04-12,2025-06-09,5,66453.23,Invoiced
PO00454,SUP007,2026-02-22,2026-04-23,11,49944.02,Partial
PO00455,SUP020,2025-12-08,2026-01-28,7,24128.74,Invoiced
PO00456,SUP007,2025-01-07,2025-01-28,10,60556.14,Partial
PO00457,SUP013,2024-06-16,2024-08-13,2,63187.83,Partial
PO00458,SUP005,2025-12-22,2026-02-18,7,11783.54,Cancelled
PO00459,SUP015,2026-05-15,2026-05-27,9,46010.42,Received
PO00460,SUP014,2026-01-22,2026-02-28,1,8089.59,Cancelled
PO00461,SUP003,2025-08-20,2025-09-01,7,33237.6,Received
PO00462,SUP006,2026-03-22,2026-04-07,2,59812.79,Cancelled
PO00463,SUP021,2026-02-27,2026-04-03,6,50330.59,Open
PO00464,SUP010,2024-09-28,2024-11-05,8,62779.92,Open
PO00465,SUP025,2024-10-13,2024-11-10,4,75861.93,Cancelled
PO00466,SUP024,2026-03-15,2026-04-15,10,66811.02,Cancelled
PO00467,SUP020,2024-04-13,2024-06-03,7,12130.32,Cancelled
PO00468,SUP005,2026-03-22,2026-05-20,5,21176.09,Cancelled
PO00469,SUP022,2024-02-21,2024-04-16,7,19156.29,Open
PO00470,SUP015,2025-08-26,2025-10-05,3,18058.63,Received
PO00471,SUP021,2026-02-28,2026-04-28,12,47444.76,Open
PO00472,SUP016,2025-05-27,2025-07-04,4,56635.01,Partial
PO00473,SUP014,2024-08-14,2024-09-29,3,6774.41,Invoiced
PO00474,SUP015,2025-07-21,2025-09-14,2,63182.41,Received
PO00475,SUP013,2025-10-20,2025-12-02,9,40835.1,Received
PO00476,SUP011,2026-01-27,2026-03-18,2,78973.07,Partial
PO00477,SUP022,2026-03-26,2026-05-23,11,53281.91,Received
PO00478,SUP010,2024-11-03,2024-12-29,7,44720.63,Open
PO00479,SUP002,2025-09-27,2025-10-22,8,52605.41,Partial
PO00480,SUP015,2026-02-14,2026-04-04,10,14332.17,Received
PO00481,SUP021,2025-02-12,2025-04-09,11,8880.33,Cancelled
PO00482,SUP005,2026-01-18,2026-03-10,10,80358.78,Invoiced
PO00483,SUP015,2025-08-10,2025-08-25,10,33766.21,Cancelled
PO00484,SUP008,2025-10-24,2025-12-21,7,62384.36,Cancelled
PO00485,SUP015,2026-04-27,2026-05-31,4,53186.49,Cancelled
PO00486,SUP008,2026-06-03,2026-07-03,3,40646.93,Cancelled
PO00487,SUP001,2024-01-19,2024-03-16,8,31025.26,Open
PO00488,SUP009,2024-01-10,2024-02-27,9,23796.75,Received
PO00489,SUP017,2024-08-24,2024-10-19,9,48978.33,Open
PO00490,SUP003,2025-04-15,2025-05-12,3,67579.03,Received
PO00491,SUP001,2026-04-10,2026-05-28,8,50967.07,Cancelled
PO00492,SUP016,2026-05-22,2026-07-09,10,55989.45,Invoiced
PO00493,SUP022,2025-02-15,2025-03-01,9,15217.85,Cancelled
PO00494,SUP023,2024-03-11,2024-04-13,7,22552.1,Received
PO00495,SUP018,2025-10-18,2025-10-25,3,75727.28,Invoiced
PO00496,SUP001,2024-05-28,2024-06-14,3,57911.93,Partial
PO00497,SUP013,2025-03-19,2025-03-31,12,35418.05,Open
PO00498,SUP016,2025-12-16,2026-02-13,6,47948.74,Cancelled
PO00499,SUP014,2024-07-06,2024-08-07,6,82762.04,Open
PO00500,SUP010,2024-08-11,2024-09-21,9,17493.36,Invoiced
PO00501,SUP006,2024-07-21,2024-09-09,12,44612.68,Open
PO00502,SUP020,2025-08-14,2025-10-05,2,16322.0,Cancelled
PO00503,SUP020,2024-03-20,2024-04-25,7,65245.11,Invoiced
PO00504,SUP018,2025-01-09,2025-02-13,8,82928.58,Partial
PO00505,SUP006,2025-03-30,2025-04-19,6,48485.56,Partial
PO00506,SUP002,2025-11-26,2026-01-15,11,75671.16,Cancelled
PO00507,SUP001,2026-01-09,2026-03-09,6,25847.1,Received
PO00508,SUP002,2026-02-09,2026-03-27,3,37117.28,Cancelled
PO00509,SUP023,2024-12-01,2025-01-28,3,50117.85,Cancelled
PO00510,SUP015,2026-01-04,2026-02-18,5,76732.93,Open
PO00511,SUP017,2025-09-10,2025-11-09,2,59790.2,Cancelled
PO00512,SUP018,2024-02-14,2024-03-23,4,74834.51,Open
PO00513,SUP024,2024-02-17,2024-02-25,2,78038.71,Invoiced
PO00514,SUP016,2025-04-26,2025-05-28,7,80051.85,Open
PO00515,SUP002,2024-07-02,2024-07-19,1,2603.31,Received
PO00516,SUP023,2025-12-18,2026-01-21,5,65816.15,Received
PO00517,SUP017,2024-06-19,2024-07-04,4,29539.16,Received
PO00518,SUP005,2024-01-31,2024-03-16,5,9071.03,Partial
PO00519,SUP011,2025-11-01,2025-12-23,7,16211.91,Open
PO00520,SUP005,2026-01-28,2026-02-05,3,31008.36,Open
PO00521,SUP019,2024-09-15,2024-09-28,2,75200.25,Invoiced
PO00522,SUP013,2024-12-07,2024-12-30,6,13958.88,Partial
PO00523,SUP004,2025-03-31,2025-05-26,7,27497.62,Invoiced
PO00524,SUP018,2024-08-13,2024-09-15,5,72163.9,Partial
PO00525,SUP001,2026-04-28,2026-06-12,11,74440.78,Cancelled
PO00526,SUP005,2025-06-07,2025-07-23,8,31827.39,Cancelled
PO00527,SUP005,2024-03-01,2024-04-23,11,61871.74,Open
PO00528,SUP010,2025-12-10,2025-12-29,1,34751.07,Partial
PO00529,SUP008,2026-04-11,2026-04-29,9,42784.02,Partial
PO00530,SUP017,2025-08-14,2025-09-29,5,38761.59,Invoiced
PO00531,SUP022,2025-08-19,2025-10-17,1,35528.79,Invoiced
PO00532,SUP024,2026-01-29,2026-03-12,2,47144.1,Received
PO00533,SUP008,2026-03-18,2026-05-17,8,6538.51,Partial
PO00534,SUP010,2025-08-15,2025-08-25,8,8626.03,Open
PO00535,SUP008,2025-11-06,2025-12-10,5,36319.71,Invoiced
PO00536,SUP002,2026-06-16,2026-07-17,12,45498.56,Invoiced
PO00537,SUP015,2025-06-11,2025-07-08,9,78916.09,Received
PO00538,SUP020,2024-04-12,2024-04-28,11,68287.52,Cancelled
PO00539,SUP020,2026-03-17,2026-03-26,6,16647.94,Invoiced
PO00540,SUP024,2025-05-26,2025-06-23,2,61249.05,Invoiced
PO00541,SUP023,2026-05-02,2026-06-17,6,18436.59,Partial
PO00542,SUP006,2026-05-07,2026-06-19,8,54697.2,Open
PO00543,SUP008,2025-08-05,2025-09-28,8,62350.56,Cancelled
PO00544,SUP007,2024-08-25,2024-10-03,1,73775.54,Partial
PO00545,SUP003,2024-09-19,2024-11-07,4,14441.39,Cancelled
PO00546,SUP024,2025-12-03,2026-01-20,10,75436.28,Partial
PO00547,SUP004,2026-03-14,2026-03-21,5,65196.76,Received
PO00548,SUP005,2024-01-15,2024-01-24,12,74087.63,Invoiced
PO00549,SUP013,2025-01-08,2025-02-18,7,15208.71,Received
PO00550,SUP008,2024-09-22,2024-11-03,8,44767.79,Invoiced
PO00551,SUP008,2024-11-01,2024-11-18,2,5874.51,Partial
PO00552,SUP015,2025-10-22,2025-11-16,7,40106.12,Cancelled
PO00553,SUP008,2024-06-22,2024-08-12,6,7647.62,Partial
PO00554,SUP004,2024-12-07,2025-01-09,2,39065.52,Received
PO00555,SUP003,2024-06-30,2024-07-24,4,13144.21,Invoiced
PO00556,SUP015,2025-08-09,2025-08-25,5,83412.01,Cancelled
PO00557,SUP004,2025-04-18,2025-05-12,1,19801.87,Received
PO00558,SUP023,2024-02-08,2024-02-17,6,77384.11,Invoiced
PO00559,SUP009,2024-05-06,2024-06-10,3,41852.04,Partial
PO00560,SUP002,2025-02-04,2025-03-19,8,68945.9,Partial
PO00561,SUP004,2024-08-20,2024-10-15,3,32938.32,Open
PO00562,SUP022,2024-04-15,2024-06-12,6,78941.74,Invoiced
PO00563,SUP021,2026-02-10,2026-03-26,3,11611.14,Invoiced
PO00564,SUP007,2024-02-15,2024-03-30,3,12717.64,Received
PO00565,SUP007,2026-06-18,2026-07-24,1,21881.72,Partial
PO00566,SUP023,2024-02-12,2024-03-03,11,84826.95,Cancelled
PO00567,SUP001,2025-05-23,2025-06-09,10,25742.52,Open
PO00568,SUP014,2024-05-22,2024-06-30,8,16363.3,Partial
PO00569,SUP011,2024-05-06,2024-05-21,10,31693.35,Open
PO00570,SUP020,2025-03-28,2025-05-17,11,84649.1,Invoiced
PO00571,SUP024,2024-12-09,2025-01-06,9,32917.51,Invoiced
PO00572,SUP024,2024-09-04,2024-09-18,7,76901.79,Open
PO00573,SUP021,2024-06-07,2024-07-14,9,36424.62,Partial
PO00574,SUP018,2025-03-27,2025-05-25,7,66255.52,Partial
PO00575,SUP024,2025-02-05,2025-03-31,2,11763.8,Open
PO00576,SUP014,2025-09-12,2025-11-11,6,79077.35,Received
PO00577,SUP004,2024-04-17,2024-04-26,12,70057.31,Partial
PO00578,SUP007,2024-03-21,2024-04-22,2,28738.76,Cancelled
PO00579,SUP016,2026-01-04,2026-02-15,11,29013.36,Cancelled
PO00580,SUP025,2024-04-17,2024-05-07,5,6639.75,Received
PO00581,SUP020,2024-05-30,2024-07-16,9,58354.72,Invoiced
PO00582,SUP003,2024-01-09,2024-02-02,3,72419.75,Invoiced
PO00583,SUP021,2025-11-17,2025-12-14,11,15788.01,Cancelled
PO00584,SUP020,2025-02-13,2025-03-12,12,70977.16,Partial
PO00585,SUP012,2024-02-14,2024-04-12,9,27838.79,Partial
PO00586,SUP018,2025-06-14,2025-07-12,10,43955.56,Open
PO00587,SUP013,2025-08-10,2025-08-20,5,20806.01,Invoiced
PO00588,SUP016,2025-06-11,2025-07-21,9,81628.43,Invoiced
PO00589,SUP019,2024-10-22,2024-12-07,11,70861.85,Partial
PO00590,SUP025,2024-10-13,2024-10-20,7,3776.56,Cancelled
PO00591,SUP019,2026-02-13,2026-02-22,10,54219.68,Invoiced
PO00592,SUP010,2024-02-19,2024-03-19,11,54897.96,Open
PO00593,SUP019,2025-06-23,2025-08-05,10,2061.22,Open
PO00594,SUP025,2025-05-23,2025-06-28,8,16892.56,Invoiced
PO00595,SUP017,2026-06-19,2026-07-01,6,19920.63,Received
PO00596,SUP019,2024-08-13,2024-09-02,4,81068.59,Cancelled
PO00597,SUP015,2024-03-03,2024-04-01,3,48188.49,Invoiced
PO00598,SUP005,2024-12-27,2025-01-17,9,26490.5,Received
PO00599,SUP023,2025-04-04,2025-05-18,11,9284.41,Received
PO00600,SUP005,2025-01-17,2025-02-07,4,12321.74,Partial
PO00601,SUP017,2026-02-14,2026-03-28,9,66542.02,Open
PO00602,SUP010,2026-02-15,2026-02-27,7,15101.78,Partial
PO00603,SUP006,2024-05-20,2024-06-02,3,57261.23,Open
PO00604,SUP003,2026-02-01,2026-04-02,6,25941.48,Partial
PO00605,SUP010,2025-10-24,2025-12-02,6,1799.69,Partial
PO00606,SUP025,2025-02-21,2025-04-13,2,2046.06,Open
PO00607,SUP013,2026-05-01,2026-06-11,2,74868.49,Cancelled
PO00608,SUP004,2024-09-09,2024-10-16,8,57820.04,Cancelled
PO00609,SUP008,2024-01-16,2024-03-02,11,53796.97,Open
PO00610,SUP023,2024-11-06,2024-12-23,7,1379.54,Received
PO00611,SUP016,2024-06-25,2024-07-05,5,3856.72,Received
PO00612,SUP022,2026-03-18,2026-04-13,1,24479.59,Open
PO00613,SUP004,2024-06-11,2024-06-22,8,47461.49,Cancelled
PO00614,SUP023,2025-10-17,2025-11-06,11,64419.13,Received
PO00615,SUP013,2024-03-12,2024-04-05,6,31312.92,Open
PO00616,SUP003,2024-06-09,2024-07-24,1,21731.63,Open
PO00617,SUP006,2025-06-25,2025-07-29,9,74162.42,Cancelled
PO00618,SUP015,2025-03-25,2025-04-23,7,25297.35,Invoiced
PO00619,SUP017,2026-03-01,2026-04-19,4,32846.68,Received
PO00620,SUP025,2024-06-03,2024-06-12,10,24348.36,Open
PO00621,SUP014,2025-06-03,2025-08-02,6,16605.36,Invoiced
PO00622,SUP019,2025-11-06,2025-12-21,1,58618.79,Cancelled
PO00623,SUP002,2024-03-09,2024-05-03,5,32644.24,Invoiced
PO00624,SUP016,2026-06-22,2026-07-02,11,60112.59,Cancelled
PO00625,SUP023,2026-04-21,2026-05-12,10,11434.21,Cancelled
PO00626,SUP015,2025-07-05,2025-08-30,4,8033.44,Cancelled
PO00627,SUP009,2024-06-10,2024-07-08,1,43440.21,Invoiced
PO00628,SUP024,2024-06-28,2024-07-20,3,65889.18,Received
PO00629,SUP020,2025-02-24,2025-04-25,10,36991.85,Partial
PO00630,SUP023,2025-11-18,2025-12-23,11,69910.34,Received
PO00631,SUP005,2024-09-12,2024-10-20,3,22107.82,Invoiced
PO00632,SUP023,2026-01-02,2026-01-19,10,14501.14,Open
PO00633,SUP008,2024-08-24,2024-09-08,5,80621.14,Cancelled
PO00634,SUP003,2025-06-13,2025-07-15,11,52411.96,Partial
PO00635,SUP013,2024-01-21,2024-02-19,7,50227.36,Received
PO00636,SUP015,2024-09-15,2024-10-15,1,78575.51,Cancelled
PO00637,SUP020,2025-01-02,2025-02-20,9,14688.81,Open
PO00638,SUP014,2026-01-24,2026-03-09,2,17374.58,Received
PO00639,SUP021,2026-02-16,2026-03-28,11,64042.55,Received
PO00640,SUP025,2024-12-13,2025-01-24,1,16166.67,Cancelled
PO00641,SUP006,2024-03-26,2024-05-10,8,23328.71,Cancelled
PO00642,SUP002,2024-11-02,2024-12-25,5,5425.89,Received
PO00643,SUP009,2024-04-21,2024-05-16,3,59052.29,Cancelled
PO00644,SUP011,2025-01-19,2025-02-04,7,6443.19,Cancelled
PO00645,SUP002,2024-09-19,2024-10-21,5,21310.32,Open
PO00646,SUP015,2024-06-13,2024-07-09,8,76530.76,Cancelled
PO00647,SUP023,2024-01-11,2024-02-09,12,18912.67,Received
PO00648,SUP020,2025-12-21,2026-01-27,9,18225.61,Partial
PO00649,SUP016,2025-01-20,2025-02-20,12,51475.87,Received
PO00650,SUP016,2025-04-28,2025-06-20,8,77479.04,Received
PO00651,SUP010,2026-03-01,2026-04-24,3,76090.9,Received
PO00652,SUP016,2025-06-06,2025-07-02,12,6594.42,Invoiced
PO00653,SUP022,2025-05-18,2025-07-04,7,65597.39,Open
PO00654,SUP005,2026-02-11,2026-04-06,9,12720.47,Open
PO00655,SUP006,2024-10-13,2024-12-12,12,49782.24,Invoiced
PO00656,SUP015,2025-04-04,2025-05-19,10,51225.88,Partial
PO00657,SUP022,2026-05-01,2026-06-30,9,6690.37,Partial
PO00658,SUP023,2026-05-24,2026-06-02,7,60226.69,Open
PO00659,SUP006,2026-05-17,2026-06-22,6,34442.8,Open
PO00660,SUP024,2024-01-11,2024-02-05,1,47737.83,Cancelled
PO00661,SUP007,2024-05-26,2024-06-22,9,79657.61,Invoiced
PO00662,SUP009,2025-06-17,2025-06-28,1,32477.09,Received
PO00663,SUP009,2025-04-16,2025-04-27,7,29856.51,Cancelled
PO00664,SUP020,2024-07-17,2024-09-02,12,66811.47,Invoiced
PO00665,SUP024,2025-03-05,2025-04-01,2,79077.61,Open
PO00666,SUP011,2024-09-26,2024-10-10,6,67384.45,Invoiced
PO00667,SUP001,2026-01-16,2026-02-22,9,36081.65,Partial
PO00668,SUP015,2026-02-23,2026-04-01,1,10098.02,Invoiced
PO00669,SUP013,2024-05-21,2024-05-29,12,13255.84,Received
PO00670,SUP007,2025-01-24,2025-02-08,8,84348.91,Cancelled
PO00671,SUP012,2026-02-25,2026-03-19,11,47803.63,Received
PO00672,SUP016,2025-07-07,2025-08-20,6,80373.0,Received
PO00673,SUP007,2024-12-01,2024-12-26,4,31378.16,Open
PO00674,SUP006,2025-08-25,2025-09-02,5,30868.66,Invoiced
PO00675,SUP014,2024-08-12,2024-10-03,9,30414.64,Invoiced
PO00676,SUP012,2024-05-21,2024-06-15,1,29191.32,Open
PO00677,SUP002,2024-10-11,2024-12-09,6,67164.56,Open
PO00678,SUP024,2025-02-12,2025-04-01,7,65067.6,Open
PO00679,SUP012,2025-07-23,2025-08-31,1,49397.05,Invoiced
PO00680,SUP006,2025-10-18,2025-11-10,4,49441.19,Invoiced
PO00681,SUP003,2024-12-10,2025-01-19,11,43711.69,Received
PO00682,SUP005,2025-01-18,2025-03-18,8,5238.91,Open
PO00683,SUP004,2025-02-25,2025-04-07,12,33495.58,Open
PO00684,SUP006,2026-04-17,2026-05-28,10,56875.53,Received
PO00685,SUP017,2026-06-18,2026-06-30,5,52429.98,Invoiced
PO00686,SUP013,2024-12-24,2025-01-27,11,50310.82,Open
PO00687,SUP023,2025-05-08,2025-06-19,2,81170.13,Partial
PO00688,SUP009,2025-11-22,2026-01-16,9,59538.84,Cancelled
PO00689,SUP003,2026-01-28,2026-03-25,2,27196.18,Invoiced
PO00690,SUP008,2024-08-15,2024-09-15,7,64875.15,Partial
PO00691,SUP010,2025-08-27,2025-09-15,5,39904.65,Partial
PO00692,SUP008,2024-02-23,2024-03-15,5,54830.69,Cancelled
PO00693,SUP015,2025-07-14,2025-09-06,5,69136.97,Cancelled
PO00694,SUP014,2026-01-19,2026-01-30,2,65349.25,Partial
PO00695,SUP013,2025-07-29,2025-09-15,2,76042.33,Open
PO00696,SUP020,2025-01-27,2025-02-22,11,5361.78,Cancelled
PO00697,SUP017,2025-05-20,2025-06-23,7,2820.75,Open
PO00698,SUP016,2025-07-11,2025-07-28,11,80790.21,Cancelled
PO00699,SUP004,2026-06-05,2026-06-30,12,53595.76,Received
PO00700,SUP001,2025-04-08,2025-05-03,9,61290.34,Received
